Time (seconds since epoch),Temp,Light
1365355423.56,22.6875,1
1365355424.07,22.6875,1
1365355424.56,22.6875,1
1365355425.06,22.6875,1
1365355425.57,22.6875,1
1365355426.07,22.6875,1
1365355426.57,22.6875,1
1365355427.07,22.6875,1
1365355427.57,22.6875,1
1365355428.07,22.6875,1
1365355428.57,22.6875,1
1365355429.07,22.6875,1
1365355429.57,22.6875,1
1365355430.07,22.6875,1
1365355430.57,22.6875,1
1365355431.07,22.6875,1
1365355431.57,22.6875,1
1365355432.07,22.6875,1
1365355432.57,22.6875,1
1365355433.07,22.6875,1
1365355433.57,22.6875,1
1365355434.07,22.6875,1
1365355434.57,22.6875,1
1365355435.07,22.6875,1
1365355435.57,22.6875,1
1365355436.07,22.6875,1
1365355436.57,22.6875,0
1365355437.07,22.6875,1
1365355437.57,22.7500,0
1365355438.07,22.6875,1
1365355438.57,22.6875,1
1365355439.07,22.7500,1
1365355439.57,22.7500,1
1365355440.07,22.6875,1
1365355440.57,22.6875,1
1365355441.07,22.7500,0
1365355441.57,22.6875,0
1365355442.07,22.7500,1
1365355442.57,22.7500,0
1365355443.07,22.7500,0
1365355443.57,22.7500,0
1365355444.07,22.7500,0
1365355444.57,22.7500,0
1365355445.07,22.7500,0
1365355445.57,22.7500,0
1365355446.07,22.7500,0
1365355446.57,22.7500,0
1365355447.07,22.7500,0
1365355447.57,22.7500,1
1365355448.07,22.7500,1
1365355448.57,22.7500,1
1365355449.07,22.7500,0
1365355449.57,22.7500,1
1365355450.07,22.7500,0
1365355450.57,22.7500,1
1365355451.07,22.7500,1
1365355451.57,22.7500,1
1365355452.07,22.7500,0
1365355452.57,22.7500,0
1365355453.07,22.7500,0
1365355453.57,22.7500,0
1365355454.07,22.7500,0
1365355454.57,22.7500,0
1365355455.07,22.7500,0
1365355455.57,22.7500,0
1365355456.07,22.7500,0
1365355456.57,22.7500,0
1365355457.07,22.7500,0
1365355457.57,22.7500,0
1365355458.07,22.7500,0
1365355458.57,22.7500,0
1365355459.07,22.7500,0
1365355459.57,22.7500,0
1365355460.07,22.7500,0
1365355460.57,22.7500,0
1365355461.07,22.7500,0
1365355461.57,22.7500,0
1365355462.07,22.7500,0
1365355462.57,22.7500,0
1365355463.07,22.7500,0
1365355463.57,22.7500,0
1365355464.07,22.7500,0
