Time (seconds since epoch),Temp,Light
1365351728.78,22.3750,81
1365351729.28,22.3750,81
1365351729.78,22.3750,81
1365351730.28,22.3750,81
1365351730.78,22.3750,81
1365351731.28,22.3750,81
1365351731.78,22.3750,81
1365351732.28,22.3750,81
1365351732.78,22.3750,81
1365351733.28,22.3750,81
1365351733.78,22.3750,81
1365351734.28,22.4375,81
1365351734.78,22.4375,81
1365351735.28,22.4375,81
1365351735.78,22.4375,81
1365351736.28,22.3750,81
1365351736.78,22.4375,81
1365351737.28,22.4375,81
1365351737.78,22.4375,81
1365351738.28,22.4375,81
1365351738.78,22.4375,81
1365351739.28,22.4375,81
1365351739.78,22.4375,81
1365351740.28,22.4375,81
1365351740.78,22.4375,81
1365351741.28,22.4375,81
1365351741.78,22.4375,81
1365351742.28,22.4375,81
1365351742.78,22.4375,81
1365351743.28,22.4375,81
1365351743.78,22.4375,81
1365351744.28,22.4375,81
1365351744.78,22.4375,81
1365351745.28,22.4375,81
1365351745.78,22.4375,80
1365351746.28,22.4375,80
1365351746.78,22.4375,80
1365351747.28,22.4375,80
1365351747.78,22.4375,81
1365351748.28,22.4375,80
1365351748.78,22.4375,81
1365351749.28,22.4375,81
1365351749.78,22.4375,81
1365351750.28,22.4375,81
1365351750.78,22.4375,81
1365351751.28,22.4375,81
1365351751.78,22.4375,81
1365351752.28,22.4375,81
1365351752.78,22.4375,81
1365351753.28,22.4375,81
1365351753.78,22.4375,81
1365351754.28,22.4375,81
1365351754.78,22.4375,81
1365351755.28,22.4375,80
1365351755.78,22.4375,80
1365351756.28,22.4375,80
1365351756.78,22.4375,80
1365351757.28,22.4375,80
1365351757.78,22.4375,80
1365351758.28,22.4375,80
1365351758.78,22.4375,80
1365351759.28,22.4375,80
1365351759.78,22.4375,80
1365351760.28,22.4375,80
1365351760.78,22.4375,80
1365351761.28,22.4375,80
1365351761.78,22.4375,80
1365351762.28,22.4375,80
1365351762.78,22.5000,80
1365351763.28,22.4375,80
1365351763.78,22.4375,80
1365351764.28,22.4375,80
1365351764.78,22.5000,80
1365351765.28,22.4375,80
